年份,排名,公司名(中文),公司名(英文),国家(中文名),国家(英文名),行业,营收(百万美元),利润(百万美元),资产(百万美元),股东权益(百万美元),市值(百万美元),营收年增减(%),利润年增减(%),净利率(%),资产收益率(%),股东权益利润率(%),员工个数,历史榜单排名,总部
2025,1,沃尔玛,WALMART,美国,U.S.,综合商业,680985,19436,260823,91013,764364,5.1,25.3,2.9,7.5,21.4,2100000,2025年:第1,本顿维尔 (Bentonville)
2025,2,亚马逊,AMAZON.COM,美国,U.S.,互联网服务和零售,637959,59248,624894,285970,2396005,11.0,94.7,9.3,9.5,20.7,1556000,2025年:第2,西雅图 (Seattle)
